nama_tempat,user,review,rating
Mie Gacoan Bandung - Buah Batu,feba dintiya,"gacoan buah batu sangat enak dan menyenangkan bersama teman² disini, sayangnya saat itu hujan jadi agak suasana nya agak gaenak tapi seru dan enakk makanannyaaa 😍😍😁😁 …",1
Mie Gacoan Bandung - Buah Batu,Ganesha Adiguna,"TL;DR
Happy makan ok, dengan harga ok, di tempat ok, dirusak moodnya dengan tukang parkir minta uang parkir diatas harga normal. …",4
Mie Gacoan Bandung - Buah Batu,Rizka Savitry,"Tempatnya bagus luas, rame terus ngantriiii. Parkiran luass. Untuk rasanya mah standar , tapi pwdesssss nya pedes vangetttt. Harga murahhhhh bangetttt",4
Mie Gacoan Bandung - Buah Batu,Yello,Pas kesana cuacanya lagi beranginnnn.. kayanya butuh wind-breaker supaya lebih nyaman. …,5
Mie Gacoan Bandung - Buah Batu,Mie Gacoan,Pelayanan bagus ramah makanan nya enak tempat nya nyaman 🥰😊🥰🥰🥰 …,5
Mie Gacoan Bandung - Buah Batu,Agfan Fani,"Izin menyampaikan Kritik,
Saya merasa Tidak nyaman saat Makan karena Meja yg saya tempati sangat amat Kotor sekali berdebu haduhhhhh dan si teteh nya mlah ngasih 1 sumpit, ya gpp si …",3
Mie Gacoan Bandung - Buah Batu,Ajeng suci nuraillah,tempatnya enyaa enak pelayananya cepet makannannya juga pada enakk masih anget mienya jugaa hujan hujan makan mie sumpah enak bnget best pokonya gacoan bubat,5
Mie Gacoan Bandung - Buah Batu,RIKA DR,"Kalo beli gacoan dicabang manapun selalu penuh sih, baik itu take away maupun dine in. Untuk dine in harus sabar menunggu dan bersedia waiting list. …",4
Mie Gacoan Bandung - Buah Batu,Sonia Ariella Parera,"GAIS HATI² KALAU BELI GACOAN, AKU UDAH DUAKALI KE RS, YG PERTAMA MASUK IGD GARA² MIENYA PADAHAL PESEN LEVEL 0, KEDUA KALI PESEN, PESEN CEMILAN UDANG KEJU DAN PANGSIT MALAH JDI ALERGI PADAHAL GADA RIWAYAT ALERGI UDANG DAN AYAM. PAS KE DOKTER …",1
Mie Gacoan Bandung - Buah Batu,Rini Destrianti,"pelayanan sangat lama sudah tau ramai  online sama ofline  kasir cuman ada 1
antri bill aja udah 15 menit belum antri makanan  sampe 30 menitan lebih
kenapa karyawanya di jam makan siang di kurangin sedangkan  sangat  ramai. …",1
Mie Gacoan Bandung - Buah Batu,Jonathan Prawira Rahawarin,"udang kejunya kosong, nggak ada keju sama sekali, dari 3 udang keju, cuma satu yang ada kejunya, mungkin lalai karena ramai yang pesan, tapi tolong utamakan juga kenyamanan pemesan",2
Mie Gacoan Bandung - Buah Batu,love humorous,"Memang udah sering kesini sih, dari servicenya juga oke bgt dan selalu ramah ke cust. Bikin betah pluss gak pernah ngecewain sama sekalii👏🏻👏🏻 …",5
Mie Gacoan Bandung - Buah Batu,Afran Nino Official,Kalau soal mienya gausah ditanya ya enak kaya gmn? Apalagi udang kejunya. Beuhh. Tapi kalau soal tempat di Bubat ini kayanya gak deh. Soalnya kalau siang panas banget 🥵. Kurang nyaman aja kalau aku pribadi. Karena panas berdampak juga kan …,4
Mie Gacoan Bandung - Buah Batu,ananda febrianasundari,"Alhamdulillah bisa bukber Ramadhan thn ini (2025) di Gacoan Buah batu sama teh Eva. Pertama kali beli gacoan di sini. Tempatnya nyaman, luas, bersih, dan layanan satset dan ramah. Untuk lokasi pun strategis. Manteppp 😇🥰 …",5
Mie Gacoan Bandung - Buah Batu,alviranurkhamilla,"the best bgt pelayanan nya, makanan nya juga hangatttt, apalagi pegawai nya ganteng', cantik' dan rapih gesit pulaa, mantappp",5
Mie Gacoan Bandung - Buah Batu,Azzahro Maryam,"Untuk makanan mie nya aman aman aja, dimsum nya enak
Cuman kebetulan pas Dateng pas ujan besar jadi lumayan penuh dan antri nya lama, karna hujan beberapa meja yang ceritanya outdoor jadi gk bisa di pake, saran …",4
Mie Gacoan Bandung - Buah Batu,Akbar Fauzan,Tempat nongkrong dan makan viral di Bandung. Tempat oke bgt buat nongki.. Aman juga lah di kantong.. …,4
Mie Gacoan Bandung - Buah Batu,Indriani Rp,"baru kali ini kecewa sama pelayanan gacoan bubat, udah 4 tahun kalo makan gacoan kesitu karna emang enak dan kualitas oke. tapi hari ini dikecewain karena diskon 90% yang gagal aku claim karena kasir dan anak training baju merah gak …",1
Mie Gacoan Bandung - Buah Batu,Jarkasih Engkas,"Saya kapok ke gacoan cabang bubat, ada karyawan muka nya jutek dan jawaban nya gk enak didengar, ingat ya kalau konsumen nanya jawablah dg ramah dan baik, semoga bisa jadi perbaikan untuk kedepan nya ya",1
Mie Gacoan Bandung - Buah Batu,Naura Risma,"makanannyaa enak bgt, suasananyaa sejukk karna kena anginn, layanannyaa juga ramahh, cocokk untuk makan seangkatann",5
Mie Gacoan Bandung - Buah Batu,Delfa Salsabilla,"makananya enak,harga nya murah, pelayanan nya cepat rekomen bgtt pokonya",4
Mie Gacoan Bandung - Buah Batu,Another One,Tempatnyaa enk pelayanannya ramah lagi rame juga masih tetep cepet rekom banget pokonya gacoan bubat buat makan,5
Mie Gacoan Bandung - Buah Batu,Solis Grooming,"Jos bgt makan disini.mantul pisan pokoknya .pegawe gesit  walau antrian panjang,tempat luas bgt,pegawai ramah,bersih,parkiran oke.kang parkirnya jg ramah.",5
Mie Gacoan Bandung - Buah Batu,Aurel Tabia,"pelayanan nya ramah, meskipun harus nunggu lama karna penuh, makanan nya juga bersih, good semuanya",4
Mie Gacoan Bandung - Buah Batu,Sandy Kurniawan,"Mie Gacoan yang terletak di daerah Buah Batu, Bandung, menawarkan pengalaman kuliner yang cukup menarik. Sebagai salah satu cabang dari jaringan restoran mie ternama, Mie Gacoan hadir dengan konsep yang memikat para pencinta mie dengan …",5
Mie Gacoan Bandung - Buah Batu,Ramdhan Mardiansah,Tidak di clean up dengan benar meja masih kotor ada air kayak air susu tisu gk ada cuman box nya saja alhasil di lap pakai bill hasil pembelian tolong di evaluasi kembali,1
Mie Gacoan Bandung - Buah Batu,It's Me Parlina,Sekarang cepat gak nunggu driver datang langsung dibikin,5
Mie Gacoan Bandung - Buah Batu,Santi Susanti,Ke tempat sini sllu enak buat nongkrong... Makanan nya lumayan enak bgt.. The best pokoknya,5
Mie Gacoan Bandung - Buah Batu,Muslih Lhoo,"tempatnyaa enakeun pisan pokonya adem, makanan dan minumannyaa jugaa enak banget best pokonyaa",5
Mie Gacoan Bandung - Buah Batu,Raihani Firdaus,"Kasir dan anak training baju merah ga tau soal diskon 90% yang harus di claim pake qrs shopee pay, aku udah claim 11 menu tapi malah ga dapet diskon tersebut padahal udah sesuai aturan, tapi pas saya ga dapet diskon tersebut anak training …",1
Mie Gacoan Bandung - Buah Batu,Husnik maro Aina,"Tempat nya rekomended banget, pelayanan nya ramah enak banget buat anak kuliah yang mau ngerjain tugas",5
Mie Gacoan Bandung - Buah Batu,Wajib Hasanadi,"Salah satu Mie Gacoan dengan tempat yg luas, tempat duduk yg banyak, dan buka 24 jam!!
Tapi antrinya tetap ada sih 😆👍 …",5
Mie Gacoan Bandung - Buah Batu,Atang Siliadji,"Suasananya dapet, dimsum nya oke banget, mie gacoannya enak dan murah, minumannya terasa banget,  konsep open space nya mantep, wastafel ok dan bersih, sanitasinya ok dan bersih,  kurangnya hanya parkir untuk mobil yg kurang memadai dgn jumlah pengunjung. Secara keseluruhan OK",5
Mie Gacoan Bandung - Buah Batu,Jizan Priauzan,"Tempatnya enak kalau di jam jam siang, kurang recomended kalau mau malem kesini, ramai... …",5
Mie Gacoan Bandung - Buah Batu,Vickyellow,"Semua oke, tapi kalo bisa dipisahkan antara are smooking dan non, karna pengunjung disitu tidak semua org dewasa, ada yang bawa anak kecil dan balita. Tks",5
Mie Gacoan Bandung - Buah Batu,Daveena Utomo,Biasanya selalu pesen lewat aplikasi g*food. Kemarin kebetulan lewat cobain ah melipir... antrian nya panjang tp alhamdulillah lumayan cepet ko pelayanan nya... mie nya maaf ga ke photo 😁 next time yah kalo kesana lagi …,5
Mie Gacoan Bandung - Buah Batu,Sari Purnamawati,"Tempatnya nyaman dan luas, mie gacoan banyak pilihan menu utk mie dengan level, minumannya jg banyak pilihan, harga terjangkau, pelayanan baik dan cepat, tidak menunggu lama pesanan langsung di antar, utk pesan makanannya agak antri karna memang mie gacoan ramai, parkir luas dan toilet jg tersedia",5
